NAME;ID;INT;ACT;SOC;SKL;REL;POL;ADD;HEA;OWN;ETH;GEN;AGE;STA;FAM;TRA
Hockey Field;4f452cd44b9081a197eba860;YES;Sports,Entertainment;Friends;Sports;;;;;;;;;;;
Hockey Rink;56aa371be4b08b9a8d57352c;YES;Sports,Entertainment;Friends;Sports;;;;;;;;;;;
Paintball Field;5032829591d4c4b30a586d5e;YES;Sports,Entertainment;Friends;Sports;;;;;;;;;;;
Rugby Pitch;52e81612bcbc57f1066b7a2c;YES;Sports,Entertainment;Friends;Sports;;;;;;;;;;;
Skate Park;4bf58dd8d48988d167941735;YES;Sports,Entertainment;Friends;Sports;;;;;;;;;;;
Skating Rink;4bf58dd8d48988d168941735;YES;Sports,Entertainment;Friends;Sports;;;;;;;;;;;
Soccer Field;4cce455aebf7b749d5e191f5;YES;Sports,Entertainment;Friends;Sports;;;;;;;;;;;
Sports Club;52e81612bcbc57f1066b7a2e;YES;Sports,Entertainment;Friends;Sports;;;;;;;;;;;
Squash Court;52e81612bcbc57f1066b7a2d;YES;Sports,Entertainment;Friends;Sports;;;;;;;;;;;
Tennis Court;4e39a956bd410d7aed40cbc3;YES;Sports,Entertainment;Friends;Sports;;;;;;;;;;;
Volleyball Court;4eb1bf013b7b6f98df247e07;YES;Sports,Entertainment;Friends;Sports;;;;;;;;;;;
Bathing Area;52e81612bcbc57f1066b7a28;YES;Sports,Entertainment;Friends;;;;;;;;;;;;
Bay;56aa371be4b08b9a8d573544;YES;Sports,Entertainment;Friends;;;;;;;;;;;;
Beach;4bf58dd8d48988d1e2941735;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
Nudist Beach;52e81612bcbc57f1066b7a30;YES;Entertainment,Tourism;Family,Friends;;;;;;;;;;;;
Surf Spot;4bf58dd8d48988d1e3941735;YES;Sports,Tourism;Friends;;;;;;;;;;;;
Bike Trail;56aa371be4b08b9a8d57355e;YES;Sports,Entertainment;Friends;;;;;;;;;;;;
Botanical Garden;52e81612bcbc57f1066b7a22;YES;Tourism;;;;;;;;;;;;;
Bridge;4bf58dd8d48988d1df941735;YES;;;;;;;;;;;;;;
Campground;4bf58dd8d48988d1e4941735;YES;Tourism;Family,Friends;;;;;;;;;;Low;;
Canal Lock;56aa371be4b08b9a8d57353b;;;;;;;;;;;;;;;
Canal;56aa371be4b08b9a8d573562;YES;Tourism;;;;;;;;;;;;;
Castle;50aaa49e4b90af0d42d5de11;YES;Tourism;;;;;;;;;;;;;
Cave;56aa371be4b08b9a8d573511;YES;Tourism;;;;;;;;;;;;;
Cemetery;4bf58dd8d48988d15c941735;YES;Tourism;;;;;;;;;;;;;
Dive Spot;52e81612bcbc57f1066b7a12;YES;Sports,Entertainment,Tourism;Family,Friends;Diving;;;;;;;;;;;
Dog Run;4bf58dd8d48988d1e5941735;YES;;Family,Friends;;;;Horse & Dog Racing;;;;;;;;
Farm;4bf58dd8d48988d15b941735;YES;Tourism;;;;;;;;;;;;;
Field;4bf58dd8d48988d15f941735;YES;;;;;;;;;;;;;;
Fishing Spot;52e81612bcbc57f1066b7a0f;YES;Sports,Entertainment;;Fishing;;;;;;;;;;;
Forest;52e81612bcbc57f1066b7a23;YES;Sports,Tourism;;;;;;;;;;;;;
Fountain;56aa371be4b08b9a8d573547;YES;;;;;;;;;;;;;;
Garden;4bf58dd8d48988d15a941735;YES;Tourism;;;;;;;;;;;;;
Gun Range;52e81612bcbc57f1066b7a11;YES;Entertainment,Sports;;;;;;;;;;;;;
Harbor / Marina;4bf58dd8d48988d1e0941735;YES;Tourism,Sports;;;;;;;Boats & Watercraft;;;;;;
Hot Spring;4bf58dd8d48988d160941735;YES;Tourism;;;;;;;;;;;;;
Indoor Play Area;5744ccdfe4b0c0459246b4b5;YES;Entertainment;Family,Friends;;;;;;;;;;;Children;
Island;50aaa4314b90af0d42d5de10;YES;Tourism;;;;;;;;;;;;;
Lake;4bf58dd8d48988d161941735;YES;Tourism;;;;;;;;;;;;;
Lighthouse;4bf58dd8d48988d15d941735;YES;Tourism;;;;;;;;;;;;;
Mountain Hut;55a5a1ebe4b013909087cb77;YES;Tourism,Sports;;;;;;;;;;;;;
Mountain;4eb1d4d54b900d56c88a45fc;YES;Tourism,Sports;;;;;;;;;;;;;
National Park;52e81612bcbc57f1066b7a21;YES;Tourism,Sports;;;;;;;;;;;;;
Nature Preserve;52e81612bcbc57f1066b7a13;YES;Tourism,Sports;;;;;;;;;;;;;
Other Great Outdoors;4bf58dd8d48988d162941735;YES;Tourism,Sports;;;;;;;;;;;;;
Palace;52e81612bcbc57f1066b7a14;YES;Tourism;;;;;;;;;;;;;
Park;4bf58dd8d48988d163941735;YES;Tourism;;;;;;;;;;;;;
Hotel;4bf58dd8d48988d1fa931735;YES;Tourism,Housing;;;;;;;;;;;High;;
Pedestrian Plaza;52e81612bcbc57f1066b7a25;YES;Tourism;Family,Friends;;;;;;;;;;;;
Playground;4bf58dd8d48988d1e7941735;YES;;;;;;;;;;;;;Children;
Plaza;4bf58dd8d48988d164941735;YES;Tourism;;;;;;;;;;;;;
Pool;4bf58dd8d48988d15e941735;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
Rafting;52e81612bcbc57f1066b7a29;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
Recreation Center;52e81612bcbc57f1066b7a26;YES;Entertainment;Family,Friends;;;;;;;;;;;Children;
Reservoir;56aa371be4b08b9a8d573541;YES;;Family,Friends;;;;;;;;;;;;
River;4eb1d4dd4b900d56c88a45fd;YES;Tourism;;;;;;;;;;;;;
Rock Climbing Spot;50328a4b91d4c4b30a586d6b;YES;Entertainment,Sports;Family,Friends;Rock climbing;;;;;;;;;;;
Scenic Lookout;4bf58dd8d48988d165941735;YES;Tourism;;;;;;;;;;;;;
Sculpture Garden;4bf58dd8d48988d166941735;YES;Tourism;;;;;;;;;;;;;
Ski Area;4bf58dd8d48988d1e9941735;YES;Tourism,Entertainment,Sports;Family,Friends;Ski;;;;;;;;;High;;
Apres Ski Bar;4bf58dd8d48988d1ea941735;YES;Having a drink,Eating out;Family,Friends;;;;;;;;;;High;;
Ski Chairlift;4eb1c0ed3b7b52c0e1adc2ea;YES;Entertainment,Sports;Family,Friends;Ski;;;;;;;;;High;;
Ski Chalet;4bf58dd8d48988d1ec941735;YES;Tourism;Family,Friends;;;;;;;;;;High;;
Ski Lodge;4bf58dd8d48988d1eb941735;YES;Tourism;Family,Friends;;;;;;;;;;High;;
Ski Trail;4eb1c0f63b7b52c0e1adc2eb;YES;Entertainment,Sports;Family,Friends;Ski;;;;;;;;;High;;
Skydiving Drop Zone;58daa1558bbb0b01f18ec1b9;YES;Entertainment,Sports;Family,Friends;Skydiving;;;;;;;;;High;;
Stables;4eb1baf03b7b2c5b1d4306ca;YES;Entertainment,Sports;Family,Friends;Horse riding;;;;;;;;;High;;
States & Municipalities;530e33ccbcbc57f1066bbfe4;YES;Entertainment,Sports;Family,Friends;Horse riding;;;;;;;;;High;;
City;50aa9e094b90af0d42d5de0d;;;;;;;;;;;;;;;
County;5345731ebcbc57f1066c39b2;;;;;;;;;;;;;;;
Country;530e33ccbcbc57f1066bbff7;;;;;;;;;;;;;;;
Neighborhood;4f2a25ac4b909258e854f55f;;;;;;;;;;;;;;;
State;530e33ccbcbc57f1066bbff8;;;;;;;;;;;;;;;
Town;530e33ccbcbc57f1066bbff3;;;;;;;;;;;;;;;
Village;530e33ccbcbc57f1066bbff9;;;;;;;;;;;;;;;
Summer Camp;52e81612bcbc57f1066b7a10;;;;;;;;;;;;;;Children;
Trail;4bf58dd8d48988d159941735;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
Tree;52e81612bcbc57f1066b7a24;YES;;;;;;;;;;;;;;
Vineyard;4bf58dd8d48988d1de941735;YES;Tourism;;;;;;;;;;;;;
Volcano;5032848691d4c4b30a586d61;YES;Tourism;;;;;;;;;;;;;
Waterfall;56aa371be4b08b9a8d573560;YES;Tourism;;;;;;;;;;;;;
Waterfront;56aa371be4b08b9a8d5734c3;YES;Tourism;;;;;;;;;;;;;
Well;4fbc1be21983fc883593e321;YES;;;;;;;;;;;;;;
Animal Shelter;4e52d2d203646f7c19daa8ae;YES;Entertainment;Family,Friends;;;;;;Pets;;;;;;
Art Studio;58daa1558bbb0b01f18ec1d6;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Auditorium;4bf58dd8d48988d173941735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Ballroom;56aa371be4b08b9a8d5734cf;YES;Entertainment;Family,Friends;Dance;;;;;;;;;;;
Building;4bf58dd8d48988d130941735;YES;;;;;;;;;;;;;;
Business Center;56aa371be4b08b9a8d573517;YES;;;;;;;;;;;;;;
Club House;52e81612bcbc57f1066b7a35;YES;;Colleagues;;;;;;;;;;;;
Community Center;52e81612bcbc57f1066b7a34;YES;;Colleagues;;;;;;;;;;;;
Convention Center;4bf58dd8d48988d1ff931735;YES;;Colleagues;;;;;;;;;;;;
Meeting Room;4bf58dd8d48988d100941735;YES;;Colleagues;;;;;;;;;;;;
Cultural Center;52e81612bcbc57f1066b7a32;YES;Entertainment;;;;;;;;;;;;;
Distillery;4e0e22f5a56208c4ea9a85a0;YES;Tourism;;;;;;;;;;;;;
Distribution Center;52e81612bcbc57f1066b7a37;YES;;;;;;;;;;;;;;
Event Space;4bf58dd8d48988d171941735;YES;;;;;;;;;;;;;;
Outdoor Event Space;56aa371be4b08b9a8d57356a;YES;;;;;;;;;;;;;;
Factory;4eb1bea83b7b6f98df247e06;YES;;;;;;;;;;;;;;
Fair;4eb1daf44b900d56c88a4600;YES;Entertainment;;;;;;;;;;;;;
Funeral Home;4f4534884b9074f6e4fb0174;YES;;;;;;;;;;;;;;
Government Building;4bf58dd8d48988d126941735;YES;;;;;Campaigns & Elections;;;;;;;;;
Capitol Building;4bf58dd8d48988d12a941735;YES;;;;;;;;;;;;;;
City Hall;4bf58dd8d48988d129941735;YES;;;;;Campaigns & Elections;;;;;;;;;
Courthouse;4bf58dd8d48988d12b941735;YES;;;;;;;;;;;;;;
Embassy / Consulate;4bf58dd8d48988d12c951735;YES;;;;;Campaigns & Elections;;;;;;;;;
Fire Station;4bf58dd8d48988d12c941735;YES;;;;;;;;;;;;;;
Monument / Landmark;4bf58dd8d48988d12d941735;YES;Tourism;;;;;;;;;;;;;
Police Station;4bf58dd8d48988d12e941735;YES;;;;;;;;;;;;;;
Town Hall;52e81612bcbc57f1066b7a38;YES;;;;;Campaigns & Elections;;;;;;;;;
Industrial Estate;56aa371be4b08b9a8d5734d7;YES;;;;;;;;;;;;;;
Laboratory;5744ccdfe4b0c0459246b4d6;YES;;;;;;;;;;;;;;
Library;4bf58dd8d48988d12f941735;YES;Education;Friends,Colleagues;;;;;;;;;;;;
Medical Center;4bf58dd8d48988d104941735;YES;;;;;;;Injury,Infectious Diseases,Cold & Flu;;;;;;;
Acupuncturist;52e81612bcbc57f1066b7a3b;YES;;;;;;;Alternative Medecines;;;;;;;
Alternative Healer;52e81612bcbc57f1066b7a3c;YES;;;;;;;Alternative Medecines;;;;;;;
Chiropractor;52e81612bcbc57f1066b7a3a;YES;;;;;;;Alternative Medecines;;;;;;;
Dentist's Office;4bf58dd8d48988d178941735;YES;;;;;;;Oral & Dental Care;;;;;;;
Doctor's Office;4bf58dd8d48988d177941735;YES;;;;;;;Injury,Infectious Diseases,Cold & Flu;;;;;;;
Emergency Room;4bf58dd8d48988d194941735;YES;;;;;;;Injury,Infectious Diseases,Cold & Flu;;;;;;;
Eye Doctor;522e32fae4b09b556e370f19;YES;;;;;;;Vision Care;;;;;;;
Hospital;4bf58dd8d48988d196941735;YES;;;;;;;Surgery,Injury,Cancer;;;;;;;
Hospital Ward;58daa1558bbb0b01f18ec1f7;YES;;;;;;;Surgery;;;;;;;
Maternity Clinic;56aa371be4b08b9a8d5734ff;YES;;;;;;;Pregnancy & Maternity;;;;;;;
Medical Lab;4f4531b14b9074f6e4fb0103;YES;;;;;;;Medical Tests & Exams;;;;;;;
Mental Health Office;52e81612bcbc57f1066b7a39;YES;;;;;;;Mental Health,Neurological Disorders;;;;;;;
Nutritionist;58daa1558bbb0b01f18ec1d0;YES;;;;;;;Eating Disorders;;;;;;;
