ID;INT;ACT;SOC;SKL;REL;POL;ADD;HEA;OWN;ETH;GEN;AGE;STA;FAM;TRA
<http://dbpedia.org/ontology/SoccerPlayer>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/BasketballLeague>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Philosopher>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/BaseballLeague>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/SupremeCourtOfTheUnitedStatesCase>;YES;;;;;YES;;;;;;;;;
<http://dbpedia.org/ontology/BaseballPlayer>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/MusicGenre>;YES;Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Jockey>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/FormulaOneRacer>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/SoccerManager>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/ResearchProject>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/FigureSkater>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/OlympicResult>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/FloweringPlant>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/ComicStrip>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/BasketballPlayer>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Chef>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/PrimeMinister>;YES;;;;;YES;;;;;;;;;
<http://dbpedia.org/ontology/Amphibian>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Surname>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Wrestler>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/RugbyLeague>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/SportsLeague>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/TennisPlayer>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Species>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Model>;YES;Entertainment;;;;;;;;;;;;;
<http://dbpedia.org/ontology/AustralianFootballTeam>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/MythologicalFigure>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/ProgrammingLanguage>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/RaceHorse>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Murderer>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Disease>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/PlayboyPlaymate>;YES;Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/ChemicalCompound>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Engineer>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/SpeedwayTeam>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Planet>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/CultivatedVariety>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Arachnid>;;;;;;;;;;;;;;;
